study;d;N_per_group;us_relevance;implicit_type;implicit_measure;N_trials_implicit;N_participants_implicit;awareness_objective;us_presentation;us_delay_type;us_assessment;N_trials_awareness;N_participants_awareness;significance
ariga_2007_exp2;;20;irrelevant;response;RT;1;20;objective;block_phase;fixed;trial;1;20;no
beanland_pammer_2010_exp1A_fixating;;27;irrelevant;attentional;accuracy;2;27;objective;block_phase;fixed;block_phase;1;72;yes
beanland_pammer_2010_exp1A_moving;;31;irrelevant;attentional;accuracy;2;31;objective;block_phase;fixed;block_phase;1;72;yes
beanland_pammer_2010_exp2_slowus;;41;irrelevant;attentional;accuracy;2;41;objective;block_phase;fixed;block_phase;1;50;no
beanland_pammer_2010_exp2_fastus;;41;irrelevant;attentional;accuracy;2;41;objective;block_phase;fixed;block_phase;1;50;no
gabay_2012_exp1;;18;relevant;response;RT;40;18;subjective;interleaved;variable;block_phase;40;30;yes
gabay_2012_exp2;;10;relevant;response;RT;40;10;subjective;interleaved;variable;block_phase;40;23;yes
lo_yeh_2008_exp1_200ms;;43;relevant;response;accuracy;16;43;objective;block_phase;fixed;trial;1;43;no
lo_yeh_2008_exp1_500ms;;41;relevant;response;accuracy;16;41;objective;block_phase;fixed;trial;1;41;yes
lo_yeh_2008_exp2_200ms;;23;irrelevant;response;RT;64;23;objective;block_phase;fixed;trial;1;23;no
lo_yeh_2008_exp2_500ms;;25;irrelevant;response;RT;64;25;objective;block_phase;fixed;trial;1;25;no
moore_egeth_1997_exp1;;20;relevant;attentional;accuracy;17;20;objective;block_phase;variable;trial;1;20;yes
moore_egeth_1997_exp3;;20;relevant;attentional;accuracy;17;20;objective;block_phase;variable;trial;1;20;yes
moore_2003_exp3;;16;relevant;attentional;RT;1;16;objective;block_phase;fixed;trial;1;16;yes
moore_2004;;25;irrelevant;response;RT;1;25;objective;block_phase;fixed;trial;1;25;no
most_2005_exp1to7pooled;;186;irrelevant;response;accuracy;1;186;subjective;block_phase;fixed;trial;1;370;yes
razpurker_pratt_2008_columns_rows_rt;;14;irrelevant;attentional;RT;320;14;subjective;interleaved;variable;block_phase;1;14;yes
razpurker_pratt_2008_columns_rows_acc;;14;irrelevant;attentional;accuracy;320;14;subjective;interleaved;variable;block_phase;1;14;yes
razpurker_pratt_2008_triangle_arrow_rt;;14;irrelevant;attentional;RT;320;14;subjective;interleaved;variable;block_phase;1;14;yes
razpurker_pratt_2008_triangle_arrow_acc;;14;irrelevant;attentional;accuracy;320;14;subjective;interleaved;variable;block_phase;1;14;yes
richards_2012_tracking;;119;irrelevant;attentional;0;1;131;objective;0;variable;block_phase;1;131;0
russell_driver_2005_exp1_acc;;25;irrelevant;attentional;accuracy;480;25;objective;block_phase;variable;trial;1;25;yes
russell_driver_2005_exp1_rt;;25;irrelevant;attentional;RT;480;25;objective;block_phase;variable;trial;1;25;no
russell_driver_2005_exp2_acc;;28;irrelevant;attentional;accuracy;480;28;objective;block_phase;variable;trial;1;28;yes
russell_driver_2005_exp2_rt;;28;irrelevant;attentional;RT;480;28;objective;block_phase;variable;trial;1;28;no
russell_driver_2005_exp3_acc;;24;irrelevant;attentional;accuracy;600;24;objective;block_phase;variable;trial;1;24;yes
russell_driver_2005_exp3_rt;;24;irrelevant;attentional;RT;600;24;objective;block_phase;variable;trial;1;24;no
russell_driver_2005_exp4a_acc;;20;irrelevant;attentional;accuracy;600;20;objective;block_phase;variable;trial;1;20;yes
russell_driver_2005_exp4b_acc;;21;irrelevant;attentional;accuracy;600;20;objective;block_phase;variable;trial;1;21;yes
russell_driver_2005_exp5_acc;;24;irrelevant;attentional;accuracy;600;24;objective;block_phase;variable;trial;1;24;no
russell_driver_2005_exp5_rt;;24;irrelevant;attentional;RT;600;24;objective;block_phase;variable;trial;1;24;no
shafto_pitts_2015;;15;irrelevant;attentional;0;216;15;subjective;block_phase;variable;block_phase;1;30;yes
schnuerch_2016_exp1;;61;irrelevant;attentional;RT;150;61;subjective;block_phase;variable;block_phase;1;61;yes
schnuerch_2016_exp2;;58;irrelevant;attentional;RT;192;58;subjective;block_phase;variable;block_phase;1;61;yes
mack_rock_2000_exp1;;50;irrelevant;attentional;accuracy;2;50;objective;block_phase;variable;trial;1;50;yes
mack_rock_2000_exp2;;41;irrelevant;attentional;accuracy;2;41;objective;block_phase;variable;trial;1;41;0
mack_rock_2000_exp3;;21;irrelevant;attentional;accuracy;2;21;objective;block_phase;variable;trial;1;21;0
mack_rock_2000_exp4;;29;irrelevant;attentional;accuracy;1;29;objective;block_phase;variable;trial;1;29;yes
mack_rock_2000_exp5;;19;irrelevant;attentional;accuracy;1;19;objective;block_phase;variable;trial;1;19;0